adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/xLMJCCSatxENpHO9rLW9yD8A12C.jpg,"[16, 878, 28, 18]",18491,ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",8.1311,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,False,8.3,1716,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997
False,/muSeX7fnNw0pv4zHK7RSwZln6Hk.jpg,"[18, 10402]",10376,it,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",2.7167,/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg,1998-10-28,The Legend of 1900,False,8.3,2342,La leggenda del pianista sull'oceano,1998
False,/vx5Mla7OfNzibnVat2HQuqGrUkc.jpg,"[35, 10749, 80]",1075,sr,"Crna mačka, beli mačor","Matko is a small time hustler, living by the Danube with his 17-year-old son Zare. After a failed business deal he owes money to the much more successful gangster Dadan. Dadan has a sister, Afrodita, that he desperately wants to see get married so they strike a deal: Zare is to marry her.",1.8383,/xxQ9jgYf3xhbUTW98VtCjA1wMLv.jpg,1998-06-01,"Black Cat, White Cat",False,7.66,773,"Crna macka, beli macor",1998
False,/k61xLJgPo7ScxHLLiBzTM9IDaB7.jpg,[18],406,fr,La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",8.2853,/a6DGCZC2fHNr07tyRumM30ALEKE.jpg,1995-05-31,La Haine,False,8.084,4277,La haine,1995
False,/pZcoSJUb3Lgr9Rzg2shg1PtTBP9.jpg,"[18, 9648, 10749]",110,fr,Trois couleurs : Rouge,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",3.4586,/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,1994-05-12,Three Colors: Red,False,7.913,1464,Trois couleurs: Rouge,1994
False,/vuglA60RqvpHK9rIcG8sXaiWw1L.jpg,"[18, 35, 10749]",11104,cn,重慶森林,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",9.4518,/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg,1994-07-14,Chungking Express,False,7.971,1996,Chung Hing sam lam,1994
False,/bBiZN1epQTu3F8iFLBuMhc4TRzr.jpg,[18],10997,zh,霸王别姬,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,3.2261,/ySf9I93w6kJiaEb2T4zpoQjY8PR.jpg,1993-01-01,Farewell My Concubine,False,7.95,624,Ba wang bie ji,1993
False,/9UCHfC9tYojD4mMVBm0boyzYEQq.jpg,[18],10404,zh,大红灯笼高高挂,"In 1920s China, 19-year-old Songlian becomes a concubine of a powerful lord and is forced to compete with his three wives for the privileges gained.",2.7749,/j6MGZpg55cTqlHHwahBtzI2qQg1.jpg,1991-12-18,Raise the Red Lantern,False,7.928,752,Dà hóng denglong gaogao guà,1991
False,/ulVUa2MvnJAjAeRt7h23FFJVRKH.jpg,"[12, 16, 14]",81,ja,風の谷のナウシカ,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",8.9451,/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,1984-03-11,Nausicaä of the Valley of the Wind,False,7.95,3809,Kaze no tani no Naushika,1984
False,/jVzoKlWUpsKV3y5oLafLQhEvgX6.jpg,"[14, 18, 9648]",5961,sv,Fanny och Alexander,"As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander.",1.352,/q8jlA3Wc1Z987hNKRFA44g5OugC.jpg,1982-12-17,Fanny and Alexander,False,7.8,813,Fanny och Alexander,1982
