genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,nome_no_dataset,data_no_dataset
"[18, 10752]",143,en,All Quiet on the Western Front,"When a group of idealistic young men join the German Army during the Great War, they are assigned to the Western Front, where their patriotism is destroyed by the harsh realities of combat.",4.1238,1930-04-29,All Quiet on the Western Front,7.75,855,All Quiet on the Western Front,1930
"[35, 80, 9648]",546554,en,Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",14.3128,2019-11-27,Knives Out,7.843,13076,Knives Out,2019
"[18, 10749]",645484,hi,दिल बेचारा,"Kizie and Manny, two ordinary people brought together by a tragic twist, embark on a bittersweet and extraordinary journey into the heart of that crazy little thing called 'life'.",1.7438,2020-07-24,Dil Bechara,6.604,106,Dil Bechara,2020
[18],492188,en,Marriage Story,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",4.4859,2019-09-28,Marriage Story,7.733,7146,Marriage Story,2019
"[10749, 18]",398818,en,Call Me by Your Name,"In the summer of 1983, a 17-year-old Elio spends his days in his family's villa in Italy. One day Oliver, a graduate student, arrives to assist Elio's father, a professor of Greco-Roman culture. Soon, Elio and Oliver discover a summer that will alter their lives forever.",9.8942,2017-07-28,Call Me by Your Name,8.11,12399,Call Me by Your Name,2017
[18],374473,en,"I, Daniel Blake","A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",2.0852,2016-10-21,"I, Daniel Blake",7.719,1471,"I, Daniel Blake",2016
"[12, 35, 16]",399174,en,Isle of Dogs,"In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island used as a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.",6.4607,2018-03-23,Isle of Dogs,7.846,5122,Isle of Dogs,2018
"[12, 35, 18]",371645,en,Hunt for the Wilderpeople,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",2.5267,2016-03-31,Hunt for the Wilderpeople,7.652,2168,Hunt for the Wilderpeople,2016
"[12, 18]",334533,en,Captain Fantastic,"Deep in the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, beginning a journey that challenges his idea of what it means to be a parent.",4.3587,2016-07-08,Captain Fantastic,7.9,6591,Captain Fantastic,2016
"[10749, 18, 10402, 35]",369557,en,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,2.2422,2016-03-11,Sing Street,7.862,2362,Sing Street,2016
"[28, 12, 878]",284053,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",14.8267,2017-10-02,Thor: Ragnarok,7.583,21362,Thor: Ragnarok,2017
"[80, 18, 53]",242582,en,Nightcrawler,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",15.4759,2014-10-23,Nightcrawler,7.704,11197,Nightcrawler,2014
"[35, 10752, 18]",515001,en,Jojo Rabbit,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",6.7107,2019-10-18,Jojo Rabbit,8.001,9941,Jojo Rabbit,2019
"[18, 878, 9648]",329865,en,Arrival,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",13.0272,2016-11-10,Arrival,7.618,18499,Arrival,2016
"[10749, 18]",132344,en,Before Midnight,"It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters but have spent a summer in Greece at the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.",1.9555,2013-04-05,Before Midnight,7.5,2529,Before Midnight,2013
"[28, 12, 878]",127585,en,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,14.9256,2014-05-15,X-Men: Days of Future Past,7.527,15732,X-Men: Days of Future Past,2014
"[18, 35, 10749]",74643,fr,The Artist,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",2.2601,2011-10-12,The Artist,7.451,3360,The Artist,2011
"[28, 878]",137113,en,Edge of Tomorrow,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",14.8486,2014-05-27,Edge of Tomorrow,7.632,14384,Edge of Tomorrow,2014
