adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/5jhG1lTgV0MS6tDkBMQSSitttTT.jpg,[18],1402,en,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,9.6997,/lBYOKAMcxIvuk9s9hMuecB9dPBV.jpg,2006-12-14,The Pursuit of Happyness,False,7.891,10190,The Pursuit of Happyness,2006
False,/hzhaUhU8718DjimHvQx2b65yLBk.jpg,"[18, 53, 28]",1372,en,Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",11.1885,/vL0TSMpKWx9UGJbKdYCKREEDukF.jpg,2006-12-08,Blood Diamond,False,7.55,7939,Blood Diamond,2006
False,/qiBILuWhv7ipF0pxiEqIJdkQzj8.jpg,"[28, 18, 9648, 53]",2503,en,The Bourne Ultimatum,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",10.6443,/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,2007-08-03,The Bourne Ultimatum,False,7.43,7967,The Bourne Ultimatum,2007
False,/t9kQnqiaxQ8TLB25rTzDKLd0fdM.jpg,"[80, 28]",187,en,Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",9.0585,/i66G50wATMmPrvpP95f0XP6ZdVS.jpg,2005-04-01,Sin City,False,7.466,8432,Sin City,2005
False,/g90Hlbaj8OofowG9hDg9ScD5fqG.jpg,"[35, 12, 878]",27275,tr,G.O.R.A.,"Carpet dealer and UFO photo forger Arif is abducted by aliens and must outwit the evil commander-in-chief of G.O.R.A., the planet where he is being held.",0.695,/ynPHp91bGTVjukRiNV7rwYEfHFT.jpg,2004-11-12,G.O.R.A.,False,7.3,344,G.O.R.A.,2004
False,/xgDj56UWyeWQcxQ44f5A3RTWuSs.jpg,"[16, 35, 10751, 14]",2062,en,Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",19.4924,/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,2007-06-28,Ratatouille,False,7.831,17755,Ratatouille,2007
False,/c2gcLDxniE0lNmT2a7CcQVuW6En.jpg,"[12, 28, 53]",36557,en,Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",12.399,/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,2006-11-14,Casino Royale,False,7.563,11124,Casino Royale,2006
False,/pgG6tzJzC8mjGqhaT8IWwEk00xf.jpg,"[28, 80, 53]",393,en,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",10.7976,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,2004-04-16,Kill Bill: Vol. 2,False,7.874,14422,Kill Bill: Vol. 2,2004
False,/huf42HJE04aFDr6RZEGw1Xxb6Pv.jpg,"[10749, 18, 36]",921,en,Cinderella Man,"The true story of boxer Jim Braddock who, following his retirement in the 1930s, makes a surprise comeback in order to lift his family out of poverty.",6.0783,/wkeOjIcpuqLMW4GnVowlM9VI0JE.jpg,2005-06-02,Cinderella Man,False,7.563,2282,Cinderella Man,2005
False,/ki5i4vy1mjnEB7u8Azhi8mQxlKA.jpg,"[35, 18, 10749]",4254,hi,कल हो ना हो,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,3.5418,/zhMI6I0kSLnewTMwE0A8Tz3Cj2f.jpg,2003-11-27,Kal Ho Naa Ho,False,7.447,415,Kal Ho Naa Ho,2003
False,/rrCc7dONpjAt8N8VO0dGpdIXCVU.jpg,"[12, 14, 28]",22,en,Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",23.5119,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,False,7.813,21396,Pirates of the Caribbean: The Curse of the Black Pearl,2003
False,/bLqUd0tBvKezDr9MEla7k34i3rp.jpg,"[12, 14, 18]",587,en,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",8.7979,/tjK063yCgaBAluVU72rZ6PKPH2l.jpg,2003-12-25,Big Fish,False,7.758,7451,Big Fish,2003
False,/bf5BLoF4IbKx4vn0NbeqCbgBNdi.jpg,"[28, 12, 16, 10751]",9806,en,The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",25.1394,/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,2004-10-27,The Incredibles,False,7.715,18223,The Incredibles,2004
False,/r3xsFBD1VTUusk393bBc7SsDUJe.jpg,"[80, 18, 53]",553,en,Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town, she learns that their support has a price.",5.6134,/lraVawavIXh5geMlVjpzCw9TGwR.jpg,2003-05-21,Dogville,False,7.8,2535,Dogville,2003
False,/wRMnG0b5LVS9qZC27xn4azcEh43.jpg,"[35, 18]",57892,tr,Vizontele,The story takes place in the small town of Hakkari in Turkey at the beginning of the '70s. The time has come to bring technology to that small town. The first Television (called Visiontele by the citizens) arrives and the chaos begins.,0.6498,/ipHbJ54NuA8tobUDrEV6odOrYhK.jpg,2001-02-02,Vizontele,False,7.3,179,Vizontele,2001
False,/msCHK5Kh1YbdZ0zPJ2nzPUhhSN9.jpg,"[14, 18, 9648]",141,en,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",9.2831,/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,2001-01-19,Donnie Darko,False,7.768,12880,Donnie Darko,2001
False,/mFfyE5DPFDqoes4HIcElHc2a15y.jpg,[18],334,en,Magnolia,"On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous lost son, a police officer in love, a boy genius, an ex-boy genius, a game show host and an estranged daughter will each become part of a dazzling multiplicity of plots, but one story.",5.4359,/tpfC325Jk6S38VTe5dDWjWtoyxr.jpg,1999-12-17,Magnolia,False,7.73,3737,Magnolia,1999
False,/vxvzf0cGtFY2Vpw5ULWumCIW6Ri.jpg,"[18, 80]",16,en,Dancer in the Dark,"A Czech immigrant in 1960s America escapes into musicals while working long hours in poverty. Struggling with hereditary blindness, she is determined to secure her son’s future and will sacrifice everything to ensure he receives the operation that could spare him from her fate.",3.0491,/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg,2000-09-01,Dancer in the Dark,False,7.9,1885,Dancer in the Dark,2000
False,/veiWT3UYVvEOGCfGZLGDJtjJvdV.jpg,[18],404,en,The Straight Story,"A retired farmer and widower in his 70s, Alvin Straight learns one day that his distant brother Lyle has suffered a stroke and may not recover. Alvin is determined to make things right with Lyle while he still can, but his brother lives in Wisconsin, while Alvin is stuck in Iowa with no car and no driver's license. Then he hits on the idea of making the trip on his old lawnmower, thus beginning a picturesque and at times deeply spiritual odyssey.",2.9283,/tT9cMiVDdtlcdZxOoFy3VRmEoKk.jpg,1999-10-15,The Straight Story,False,7.7,1671,The Straight Story,1999
False,/wfClZdRb1x4LZ8B73Y9RSn8XAPa.jpg,"[16, 10751, 878, 12]",10386,en,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",11.0893,/ct04FCFLPImNG5thcPLRnVsZlmS.jpg,1999-08-06,The Iron Giant,False,7.951,5858,The Iron Giant,1999
False,/yXnlw2SB0QhYUC4QDyuRZh3CQlU.jpg,"[35, 80]",158,de,Knockin' on Heaven's Door,"Two young men, Martin and Rudi, both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in tequila and decide to take one last trip to the sea. Drunk and still in pajamas they steal the first fancy car they find, a 60's Mercedes convertible. The car happens to belong to a bunch of gangsters, which immediately start to chase it, since it contains more than the pistol Martin finds in the glove box.",2.0913,/dsY09zCxKDFjfV1oqXFJJpVrHdP.jpg,1997-02-20,Knockin' on Heaven's Door,False,7.711,547,Knockin' on Heaven's Door,1997
False,/s0MYaSiEZy9H0cXxxay5LEdcxYs.jpg,[18],12498,en,Sling Blade,"Karl Childers, a mentally disabled man, has been in the custody of the state mental hospital since the age of 12 for killing his mother and her lover. Although thoroughly institutionalized, he is deemed fit to be released into the outside world.",2.4194,/ivBIBd1LNaozcmytZUyE1yIXZms.jpg,1996-08-30,Sling Blade,False,7.543,820,Sling Blade,1996
False,/upyQnoXc0RP4DXhPbijG7xDlSos.jpg,[18],11159,en,Secrets & Lies,"After her adoptive mother dies, Hortense, a successful black optometrist, seeks out her birth mother. She's shocked when her research leads her to Cynthia, a working class white woman.",2.1031,/zQBuRQ3hrLhkEsXcxteUxuxLrvs.jpg,1996-05-24,Secrets & Lies,False,7.5,684,Secrets & Lies,1996
False,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,"[878, 53, 9648]",63,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",16.651,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,1995-12-29,Twelve Monkeys,False,7.6,8680,Twelve Monkeys,1995
False,/xWT5F1DNxciNLEMXRl49iq8zvN7.jpg,"[14, 16, 10751]",9479,en,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",13.3059,/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,1993-10-09,The Nightmare Before Christmas,False,7.834,9875,The Nightmare Before Christmas,1993
False,/ttBydD0SynC0TMkW3AcnmsySkLp.jpg,"[10749, 14, 18, 35]",137,en,Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",11.3067,/gCgt1WARPZaXnq523ySQEUKinCs.jpg,1993-02-11,Groundhog Day,False,7.617,8394,Groundhog Day,1993
False,/9xjUZjuYyehv2qnqMH0oR9nSTft.jpg,"[80, 28, 18, 53]",9702,en,Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",11.0038,/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg,1993-02-05,Bound by Honor,False,8.131,1448,Bound by Honor,1993
False,/fa03pD2qYmms4ZMgAv7PMqfFiGO.jpg,[18],9475,en,Scent of a Woman,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",7.5448,/4adI7IaveWb7EidYXfLb3MK3CgO.jpg,1992-12-23,Scent of a Woman,False,7.783,3658,Scent of a Woman,1992
False,/5OeY4U2rzePxWq2rkqMajUx2gz7.jpg,"[16, 10751, 12, 14, 10749]",812,en,Aladdin,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.",14.1252,/eLFfl7vS8dkeG1hKp5mwbm37V83.jpg,1992-11-25,Aladdin,False,7.654,11590,Aladdin,1992
False,/lGJxJQCiEeaoXAoQUvBcv6lRa7U.jpg,"[18, 53, 36]",820,en,JFK,Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,6.262,/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg,1991-12-20,JFK,False,7.605,2251,JFK,1991
False,/fW4ZCoEZRBqLAJGFQ2g5AdAfPQR.jpg,"[10749, 10751, 16, 14]",10020,en,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",15.1979,/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,1991-10-22,Beauty and the Beast,False,7.73,10283,Beauty and the Beast,1991
